ID,Class1,CLass2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Class11,Class12,CLass13,Class14,Class15,Class16,Class17,Class18,Class19,Class20,Class21,Class22,Class23,CLass24,Class25,Class26,Class27,Class28,Class29,Class30,Class31,Class32,Class33,Class34,CLass35,Class36,Class37,Class38,Class39,Class40,Class41,Class42,Class43,Class44,Class45,CLass46,Class47,Class48,Class49,Class50
1,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.2089552238806,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.074626865671642,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328,0.014925373134328
2,0.0028195488721804,0.0050125313283208,0.0015664160401002,0.0090852130325814,0.014097744360902,0.81986215538847,0.0078320802005012,0.0015664160401002,0.00031328320802005,0.0053258145363408,0.0015664160401002,0.00031328320802005,0.00031328320802005,0.0053258145363408,0.00031328320802005,0.0021929824561403,0.00031328320802005,0.0040726817042606,0.00031328320802005,0.00093984962406015,0.00031328320802005,0.006578947368421,0.00031328320802005,0.00031328320802005,0.006578947368421,0.00031328320802005,0.00031328320802005,0.0015664160401002,0.00031328320802005,0.012531328320802,0.00031328320802005,0.00031328320802005,0.00031328320802005,0.00031328320802005,0.00031328320802005,0.0015664160401002,0.0078320802005012,0.00093984962406015,0.00031328320802005,0.0072055137844611,0.0050125313283208,0.00031328320802005,0.00031328320802005,0.00031328320802005,0.0018796992481203,0.00031328320802005,0.0015664160401002,0.057957393483709,0.00031328320802005,0.00031328320802005
3,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.95434969853575,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.004306632213609,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179,0.00086132644272179
4,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
5,0.0042016806722689,0.0042016806722689,0.0042016806722689,0.021008403361345,0.0042016806722689,0.0042016806722689,0.0042016806722689,0.0042016806722689,0.0042016806722689,0.0042016806722689,0.0042016806722689,0.021008403361345,0.0042016806722689,0.0042016806722689,0.0042016806722689,0.0042016806722689,0.0042016806722689,0.0042016806722689,0.0042016806722689,0.0042016806722689,0.0042016806722689,0.0042016806722689,0.0042016806722689,0.0042016806722689,0.0042016806722689,0.0042016806722689,0.0042016806722689,0.0042016806722689,0.0042016806722689,0.0042016806722689,0.021008403361345,0.0042016806722689,0.58823529411765,0.0042016806722689,0.0042016806722689,0.0042016806722689,0.0042016806722689,0.021008403361345,0.0042016806722689,0.0042016806722689,0.058823529411765,0.0042016806722689,0.0042016806722689,0.03781512605042,0.0042016806722689,0.0042016806722689,0.0042016806722689,0.03781512605042,0.021008403361345,0.0042016806722689
6,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.81439393939394,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788,0.0037878787878788
7,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
8,0.014285714285714,0.014285714285714,0.18571428571429,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.071428571428571,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.071428571428571,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714,0.014285714285714
9,0.00018754688672168,4.688672168042e-05,4.688672168042e-05,4.688672168042e-05,4.688672168042e-05,0.0011721680420105,4.688672168042e-05,4.688672168042e-05,4.688672168042e-05,4.688672168042e-05,4.688672168042e-05,4.688672168042e-05,4.688672168042e-05,4.688672168042e-05,4.688672168042e-05,4.688672168042e-05,4.688672168042e-05,4.688672168042e-05,4.688672168042e-05,4.688672168042e-05,0.00018754688672168,4.688672168042e-05,0.0015003750937734,0.00018754688672168,4.688672168042e-05,4.688672168042e-05,4.688672168042e-05,4.688672168042e-05,4.688672168042e-05,4.688672168042e-05,4.688672168042e-05,0.00051575393848462,4.688672168042e-05,4.688672168042e-05,4.688672168042e-05,4.688672168042e-05,0.00028132033008252,0.00028132033008252,4.688672168042e-05,0.0011721680420105,0.00018754688672168,4.688672168042e-05,0.00060952738184546,4.688672168042e-05,4.688672168042e-05,4.688672168042e-05,0.00018754688672168,0.99179482370593,4.688672168042e-05,4.688672168042e-05
10,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.096296296296296,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.037037037037037,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.24444444444444,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.0074074074074074,0.28148148148148,0.0074074074074074
